time,open,high,low,close
1740628980,5972.25,5973.25,5972.25,5973
1740629160,5973,5973.75,5971.75,5971.75
1740629340,5971.75,5972.5,5971.5,5971.75
1740629520,5971.75,5973,5971.5,5972.5
1740629700,5972.5,5973.25,5972.25,5972.5
1740629880,5972.5,5972.75,5970.5,5971.25
1740630060,5971.25,5972.25,5970.5,5971.75
1740630240,5971.75,5972,5970.75,5972
1740630420,5971.75,5972.25,5970.75,5971.75
1740630600,5971.75,5972,5970.75,5971.75
1740630780,5971.5,5972.5,5971.25,5971.5
1740630960,5971.5,5972.75,5971.5,5972.25
1740631140,5972.5,5973.5,5972.5,5973.5
1740631320,5973.25,5973.25,5972.25,5972.5
1740631500,5972.5,5973.25,5972.5,5973.25
1740631680,5973.25,5973.75,5973,5973
1740631860,5973,5973,5972.25,5972.5
1740632040,5972.75,5974.5,5972.5,5974.25
1740632220,5974,5974.75,5974,5974.75
1740632400,5974.5,5975,5973,5974
1740632580,5973.75,5976.25,5973.75,5976
1740632760,5976.25,5978.25,5976,5978
1740632940,5977.75,5978.75,5977.25,5978.5
1740633120,5978.5,5979,5978,5979
1740633300,5979.25,5981.5,5979,5981.25
1740633480,5981.25,5982.5,5980.5,5981.75
1740633660,5981.5,5985,5981.5,5983
1740633840,5983,5985,5982.5,5984.5
1740634020,5984.25,5985,5983.75,5984.5
1740634200,5984.5,5985,5983.5,5984
1740634380,5983.75,5984.25,5983.5,5984
1740634560,5983.75,5984,5983.25,5984
1740634740,5983.75,5987.75,5983.5,5986.75
1740634920,5987,5989.25,5986.5,5989.25
1740635100,5989.25,5990.5,5988.75,5990
1740635280,5990,5990.75,5989.5,5990.75
1740635460,5990.5,5995,5989.75,5991.5
1740635640,5991.25,5991.25,5989.25,5989.25
1740635820,5989.25,5990.5,5989,5990
1740636000,5990.25,5992.75,5989.5,5992.25
1740636180,5992.25,5992.75,5992,5992.5
1740636360,5992.5,5993,5991.25,5991.75
1740636540,5991.75,5992.25,5991.25,5992.25
1740636720,5992.25,5992.25,5991,5991.25
1740636900,5991.25,5994.25,5991,5994
1740637080,5994,5994.5,5992.5,5993
1740637260,5992.75,5996.25,5992.75,5995.25
1740637440,5995.5,5996,5994.75,5995.25
1740637620,5995,5995.75,5994.75,5995
1740637800,5994.75,5995.25,5993.5,5994.5
1740637980,5994.5,5994.5,5991.75,5991.75
1740638160,5992,5994,5991.75,5994
1740638340,5994,5994,5992.5,5993.25
1740638520,5993.5,5994.5,5993.5,5994.25
1740638700,5994.25,5994.75,5993.5,5994.5
1740638880,5994.5,5995.75,5992.5,5992.75
1740639060,5992.75,5992.75,5991.25,5991.5
1740639240,5991.5,5993.75,5991.25,5993.75
1740639420,5993.5,5994.75,5993.5,5993.75
1740639600,5993.75,5995.5,5992.75,5994.25
1740639780,5994.25,5994.75,5992.75,5993.75
1740639960,5993.75,5995.25,5993.5,5994.25
1740640140,5994.5,5996.25,5993.25,5994.25
1740640320,5994,5996,5993.75,5995.75
1740640500,5996,5999.75,5996,5999.25
1740640680,5999.5,6001.5,5998,5999.25
1740640860,5999.25,6000.75,5999,5999.75
1740641040,5999.5,6002.5,5999.5,6001
1740641220,6001,6001.5,5998.5,5999.25
1740641400,5999.25,6001.75,5999.25,6000.5
1740641580,6000.5,6002.5,6000.25,6001.75
1740641760,6001.5,6002.75,6001.25,6002.25
1740641940,6002.5,6002.5,6000.25,6002
1740642120,6002.25,6002.25,6000.25,6000.25
1740642300,6000.5,6001.75,6000.25,6000.75
1740642480,6000.75,6001,5997.5,5999
1740642660,5999.25,5999.75,5998.5,5998.75
1740642840,5998.5,5998.5,5996,5996
1740643020,5996,5996,5993.5,5994.25
1740643200,5994.25,5994.75,5990,5990.75
1740643380,5990.5,5993.75,5990,5993.75
1740643560,5993.75,5995.25,5992.75,5994
